timestamp;ax;ay;az;gx;gy;gz
164994;-0.0809;0.2125;0.5049;0.0153;-0.0153;-0.1374
165039;-0.0687;0.2097;0.4986;0.0611;0.2595;-0.1527
165084;-0.0882;0.2131;0.5009;0.0611;0.2443;-0.0916
165129;-0.0835;0.2088;0.4933;-0.0229;0.1145;-0.1221
165174;-0.0829;0.2073;0.5002;0.0000;0.1679;0.0916
165219;-0.0822;0.2077;0.4950;0.0229;-0.0687;-0.0229
165264;-0.0958;0.2054;0.4879;-0.0763;0.2824;-0.0763
165309;-0.0924;0.2004;0.4952;0.0840;0.3588;0.0382
165354;-0.0945;0.2108;0.4908;0.0076;0.3282;-0.1069
165399;-0.0902;0.2131;0.5035;0.0611;0.0534;-0.0229
165444;-0.0903;0.2097;0.5020;0.0687;0.2366;-0.0687
165489;-0.0963;0.2152;0.5019;0.1374;0.2977;-0.0611
165534;-0.0891;0.2083;0.4976;0.0687;-0.3130;-0.1374
165579;-0.0802;0.2148;0.5053;-0.0687;0.1298;-0.0992
165624;-0.0926;0.2044;0.4912;-0.0076;0.1603;-0.0763
165669;-0.0804;0.2098;0.5046;-0.0840;-0.1527;-0.0916
165714;-0.0729;0.2187;0.4876;-0.0992;0.1756;-0.0229
165759;-0.0894;0.2070;0.5083;-0.0840;0.0229;-0.0382
165804;-0.0720;0.2171;0.4989;-0.1145;0.1450;0.0611
165849;-0.0925;0.2011;0.4940;0.0076;0.2366;0.0305
165894;-0.0933;0.2172;0.4859;-0.0458;0.1679;0.1298
165939;-0.0868;0.2061;0.5025;-0.0076;-0.0840;0.0000
165984;-0.0891;0.2097;0.4977;-0.0534;0.3206;0.0992
166029;-0.0970;0.2028;0.4892;-0.0763;-0.1221;-0.0534
166074;-0.0910;0.2001;0.4963;-0.0611;0.0458;0.1069
166119;-0.0937;0.2098;0.5041;0.0458;0.0458;-0.0153
166164;-0.0879;0.2136;0.5043;-0.0687;-0.0840;-0.0611
166209;-0.0767;0.2051;0.4969;-0.1069;0.0992;-0.0763
166254;-0.0926;0.2083;0.4863;-0.0763;0.1069;-0.1527
166299;-0.0851;0.2057;0.5076;-0.0611;-0.0534;-0.0229
166344;-0.0733;0.2081;0.4874;0.0382;0.2443;-0.0382
166389;-0.0942;0.1977;0.4941;0.0840;0.0534;-0.0382
166434;-0.0787;0.2114;0.4971;0.0840;-0.2901;0.0076
166479;-0.0793;0.2059;0.5004;0.0534;0.1298;-0.0916
166524;-0.0939;0.2091;0.5000;0.0840;0.1450;-0.0611
166569;-0.0911;0.2111;0.4918;0.0611;0.0458;-0.0229
166614;-0.0975;0.2120;0.4938;0.0763;0.1832;-0.0153
166659;-0.0797;0.2094;0.4965;0.0458;-0.2748;-0.0382
166704;-0.0849;0.2179;0.5025;-0.0534;0.1221;-0.0840
166749;-0.0884;0.2202;0.4819;0.0229;0.2595;-0.0153
166794;-0.0855;0.2222;0.4876;-0.1679;-0.2824;-0.0305
166839;-0.0845;0.2076;0.4931;-0.0840;0.1298;-0.0076
166884;-0.0886;0.2045;0.4915;0.0382;0.1527;-0.0229
166929;-0.0864;0.2172;0.4895;0.0153;-0.1756;-0.0076
166974;-0.0887;0.2088;0.4972;0.0229;0.1908;0.0305
167019;-0.0920;0.2050;0.4922;0.0229;0.0153;-0.0458
167064;-0.0931;0.2043;0.4969;0.2366;-0.0229;0.0382
167109;-0.0757;0.2037;0.4794;-0.0458;-0.1069;-0.0305
167154;-0.1024;0.2131;0.4805;-0.0076;0.3588;-0.1069
167199;-0.0823;0.2092;0.4849;-0.1374;-0.6489;-0.2443
167244;-0.0753;0.2105;0.4947;-0.0534;-0.7481;-0.5496
167289;-0.0844;0.2204;0.4842;-0.2595;0.0382;-0.6107
167334;-0.1011;0.1922;0.4963;-0.5496;0.5725;-0.5115
167379;-0.1102;0.1739;0.5011;-0.5573;0.9542;-0.5038
167424;-0.1223;0.2057;0.4864;-0.3435;13.359;-0.4809
167469;-0.1158;0.2075;0.4704;-0.2290;10.534;-0.6947
167514;-0.1343;0.2087;0.4784;-0.2595;0.8397;-0.8397
167559;-0.1373;0.2203;0.4665;-0.1527;0.6870;-0.9160
167604;-0.1361;0.2158;0.4767;-0.0992;0.2901;-12.137
167649;-0.1352;0.2084;0.4874;0.1908;-0.2824;-0.8092
167694;-0.1082;0.2065;0.5082;0.2824;-0.4275;-0.6107
167739;-0.1176;0.2205;0.5087;0.2137;-0.5725;-0.2519
167784;-0.1090;0.3063;0.5025;0.6336;-0.4351;0.7634
167829;-0.0952;0.2796;0.4999;0.4427;0.7099;0.0153
167874;-0.1168;0.2570;0.4809;0.3664;11.221;0.1298
167919;-0.0768;0.2352;0.4867;0.5344;-12.443;0.0153
167964;-0.0790;0.1282;0.5312;0.3969;0.1756;0.2901
168009;-0.1083;0.1405;0.4996;0.4198;0.5573;0.1374
168054;-0.1151;0.1708;0.4772;0.7405;-0.0305;-0.1374
168099;-0.1143;0.1774;0.4780;0.7939;-0.8626;0.1145
168144;-0.0753;0.2125;0.4762;0.8397;12.977;-0.2519
